Stock	EG	Species	Spp	Country	DLS	IC_Aggreg	Landings	BMS	Discards																																
wit.27.3a47d	WGNSSK	Witch	Glyptocephalus cynoglossus	Belgium	DLS	Q	y	n	y																																
wit.27.3a47d	WGNSSK	Witch	Glyptocephalus cynoglossus	Denmark	DLS	Q	y	n	y																																
wit.27.3a47d	WGNSSK	Witch	Glyptocephalus cynoglossus	France	DLS	Q	y	n	y																																
wit.27.3a47d	WGNSSK	Witch	Glyptocephalus cynoglossus	Germany	DLS	Q	y	n	y																																
wit.27.3a47d	WGNSSK	Witch	Glyptocephalus cynoglossus	Netherlands	DLS	Q	y	n	y																																
wit.27.3a47d	WGNSSK	Witch	Glyptocephalus cynoglossus	Norway	DLS	Q	y	n	y																																
wit.27.3a47d	WGNSSK	Witch	Glyptocephalus cynoglossus	Sweden	DLS	Q	y	n	y																																
wit.27.3a47d	WGNSSK	Witch	Glyptocephalus cynoglossus	UK-England & Wales	DLS	Q	y	n	y																																
wit.27.3a47d	WGNSSK	Witch	Glyptocephalus cynoglossus	UK-England & Wales	DLS	Q	y	n	y																																
wit.27.3a47d	WGNSSK	Witch	Glyptocephalus cynoglossus	UK-Scotland	DLS	Q	y	n	y																																
boc.27.6-8	WGWIDE	Boarfish	Capros aper	Denmark	DLS	Q	y	y	y																																
boc.27.6-8	WGWIDE	Boarfish	Capros aper	Ireland	DLS	Q	y	y	y																																
boc.27.6-8	WGWIDE	Boarfish	Capros aper	UK-Northern Ireland	DLS	Q	y	y	y																																
boc.27.6-8	WGWIDE	Boarfish	Capros aper	UK-Scotland	DLS	Q	y	y	y																																
boc.27.6-8	WGWIDE	Boarfish	Capros aper	UK-England & Wales	DLS	Q	y	y	y																																
boc.27.6-8	WGWIDE	Boarfish	Capros aper	Germany	DLS	Q	y	y	y																																
boc.27.6-8	WGWIDE	Boarfish	Capros aper	Netherlands	DLS	Q	y	y	y																																
boc.27.6-8	WGWIDE	Boarfish	Capros aper	Portugal	DLS	Q	y	y	y																																
boc.27.6-8	WGWIDE	Boarfish	Capros aper	Spain	DLS	Q	y	y	y																																
hom.27.3a4bc7d	WGWIDE	Horse mackerel	Trachurus trachurus	Germany	DLS	Q	y	y	y																																
hom.27.3a4bc7d	WGWIDE	Horse mackerel	Trachurus trachurus	UK-England & Wales	DLS	Q	y	y	y																																
hom.27.3a4bc7d	WGWIDE	Horse mackerel	Trachurus trachurus	UK-Scotland	DLS	Q	y	y	y																																
hom.27.3a4bc7d	WGWIDE	Horse mackerel	Trachurus trachurus	Belgium	DLS	Q	y	y	y																																
hom.27.3a4bc7d	WGWIDE	Horse mackerel	Trachurus trachurus	Norway	DLS	Q	y	y	y																																
hom.27.3a4bc7d	WGWIDE	Horse mackerel	Trachurus trachurus	France	DLS	Q	y	y	y																																
hom.27.3a4bc7d	WGWIDE	Horse mackerel	Trachurus trachurus	Denmark	DLS	Q	y	y	y																																
hom.27.3a4bc7d	WGWIDE	Horse mackerel	Trachurus trachurus	Netherlands	DLS	Q	y	y	y																																
rjc.27.3a47d	WGEF	Thornback ray	Raja clavata	Several	DLS	A	y	n	y																																
rjn.27.3a4	WGEF	Cuckoo ray	Leucoraja naevus	Several	DLS	A	y	n	y																																
rjh.27.4c7d	WGEF	Blonde ray	Raja brachyura	Several	DLS	A	y	n	y																																
rjh.27.4a6	WGEF	Blonde ray	Raja brachyura	Several	DLS	A	y	n	y																																
rjm.27.3a47d	WGEF	Spotted ray	Raja montagui	Several	DLS	A	y	n	y																																
sdv.27.nea	WGEF	Smooth-hound	Mustelus spp.	Several	DLS	A	y	n	y																																
syc.27.8c9a	WGEF	Lesser-spotted dogfish	Scyliorhinus canicula	Several	DLS	A	y	n	y																																
syc.27.8abd	WGEF	Lesser-spotted dogfish	Scyliorhinus canicula	Several	DLS	A	y	n	y																																
syc.27.67a-ce-j	WGEF	Lesser-spotted dogfish	Scyliorhinus canicula	Several	DLS	A	y	n	y																																
syt.27.67	WGEF	Greater-spotted dogfish	Scyliorhinus stellaris	Several	DLS	A	y	n	y																																
syc.27.3a47d	WGEF	Lesser-spotted dogfish	Scyliorhinus canicula	Several	DLS	A	y	n	y																																
